type,A,B,name,label::English,label::Français,label::Swahili,French_lab,Swahililab,calculation,appearance,hint::English,hint::Français,hint::Swahili,relevant,default,constraint,constraint_message::Français,constraint_message::Swahili,required,repeat_count
select_one markettiming_list,16,D.1.1.16,saletime_1,When did you sell?,D.1.1.16 Quand est-ce que vous avez vendu la récolte?,D.1.1.16 Uliuzisha hii mavuno wakati gani?,Quand est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wakati gani?,,,,,,${cropsell_1}>0,,,,,yes,
select_one marketing_list,17,D.1.1.17,cropmarket_1,Where did you sell?,D.1.1.17 Ou est-ce que vous avez vendu la récolte?,D.1.1.17 Uliuzisha hii mavuno wapi?,Ou est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wapi?,,,,,,${cropsell_1}>0,,,,,yes,
text,18,D.1.1.18,cropmarketother_1,Specify other,D.1.1.18 Specifiez,D.1.1.18 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${cropsell_1}>0 and ${cropmarket_1} = '5',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
select_one crop_list,1,D.1.2.1,crop_2,Please select the secondmost important crop on this field,D.1.2.1 Quelle est la recolte la deuxième plus importante dans ce champ pour le saison actuel?,D.1.2.1 Mmea gani ambao ni wa pili kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,Quelle est la recolte la deuxième plus importante dans ce champ pour le saison actuel?,Mmea gani ambao ni wa pili kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,,,,"Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.","Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.",${crop_1}!='99','99',,,,yes,
text,2,D.1.2.2,crop_other_2,specify other,D.1.2.2 Specifiez,D.1.2.2 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${crop_2}='96',,,,,yes,
begin group,2,,r2,2,2,,2,,,,,,,${crop_1}!='99' and ${crop_2}!='99' and (${crop_2}='7' or ${crop_2}='8' or ${crop_2}='9' or ${crop_2}='10'),,,,,,
integer,3,D.1.2.3,sow_2,How much did you sow,D.1.2.3 Combien est-ce que vous avez planté/semé?,D.1.2.3 Ulipanda mimea (mbegu) ngapi?,Combien est-ce que vous avez planté/semé?,Ulipanda mimea (mbegu) ngapi?,,,,Notez la quantité. Untiés dans le page prochain,Notez la quantité. Untiés dans le page prochain,,,,,,yes,
select_one units_volume,4,D.1.2.4,sowunit_2,Please indicate the unit.,D.1.2.4 Unité,D.1.2.4 Kipimo,Unité,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,5,D.1.2.5,seedsupply_2,How did you get the seeds,D.1.2.5 Comment est-ce que vous avez obtenu les semences?,D.1.2.5 Ulipata mbengu namna gani?,Comment est-ce que vous avez obtenu les semences?,Ulipata mbengu namna gani?,,,,,,,,,,,yes,
text,6,D.1.2.6,seedsupplyngo_2,What is the name of the NGO?,D.1.2.6 Quel est le nom d'ONG?,D.1.2.6 Jina la ONG ni gani?,Quel est le nom d'ONG?,Jina la ONG ni gani?,,,,,,${seedsupply_2}='6',,,,,yes,
text,7,D.1.2.7,seedsupplyneigh_2,What is the name of the person?,D.1.2.7 Quel est le nom de personne?,D.1.2.7 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${seedsupply_2}='3' or ${seedsupply_2}='4' or ${seedsupply_2}='5',,,,,yes,
select_one harvestyn_list,8,D.1.2.8,harvestyn_2,Have you finished harvesting this crop?,D.1.2.8 Est que vous avez déja fini la récolte de cette culture?,D.1.2.8 Umekwisha maliza kuvuna mbegu hiyi? ,Est que vous avez déja fini la récolte de cette culture?,Umekwisha maliza kuvuna mbegu hiyi? ,,,,,,,,,,,yes,
integer,9,D.1.2.9,harvest_2,How much did you harvest?,D.1.2.9 Combien est-ce que vous avez récolté?,D.1.2.9 Ulipata mavuno kiasi gani?,Combien est-ce que vous avez récolté?,Ulipata mavuno kiasi gani?,,,,"Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.","Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.",,,,,,yes,
select_one units_volume,10,D.1.2.10,harvestunit_2,Please indicate the unit.,D.1.2.10 Unité,D.1.2.10 kipimo,Unité,kipimo,,,,,,,,,,,yes,
integer,11,D.1.2.11,cropsell_2,How much did you sell?,D.1.2.11 Combien est-ce que vous avez vendu?,D.1.2.11 Uliuzisha mavuno kiasi gani?,Combien est-ce que vous avez vendu?,Uliuzisha mavuno kiasi gani?,,,"If no sale, enter 0. ","Si pas de vente, notez 0. 
","Si pas de vente, notez 0. 
",,,,,,yes,
select_one units_volume,12,D.1.2.12,cropsellunit_2,Please indicate the unit.,D.1.2.12 Unité,D.1.2.12 Kipimo,Unité,Kipimo,,,,Notez l'unité de mesure.,Notez l'unité de mesure.,${cropsell_2}>0,,,,,yes,
integer,13,D.1.2.13,sellprice_2,What is the price?,D.1.2.13 Pour quel prix avez-vous vendu la récolte?,D.1.2.13 Uliuzisha mavuno kwa bei gani?,Pour quel prix avez-vous vendu la récolte?,Uliuzisha mavuno kwa bei gani?,,,Enter the unit and currency below,"Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines","Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines",${cropsell_2}>0,,,,,yes,
select_one currency_list,14,D.1.2.14,sellpricecurr_2,What currency?,D.1.2.14 Monnaie,D.1.2.14 Pesa gani,Monnaie,Pesa gani,,,,"Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine","Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine",${cropsell_2}>0,,,,,yes,
select_one units_volume,15,D.1.2.15,sellpriceunit_2,What unit?,D.1.2.15 Unité,D.1.2.15 Uliuzisha kwa kipimo gani?,Unité,Uliuzisha kwa kipimo gani?,,,,"Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.","Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.",${cropsell_2}>0,,,,,yes,
select_one markettiming_list,16,D.1.2.16,saletime_2,When did you sell?,D.1.2.16 Quand est-ce que vous avez vendu la récolte?,D.1.2.16 Uliuzisha hii mavuno wakati gani?,Quand est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wakati gani?,,,,,,${cropsell_2}>0,,,,,yes,
select_one marketing_list,17,D.1.2.17,cropmarket_2,Where did you sell?,D.1.2.17 Ou est-ce que vous avez vendu la récolte?,D.1.2.17 Uliuzisha hii mavuno wapi?,Ou est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wapi?,,,,,,${cropsell_2}>0,,,,,yes,
text,18,D.1.2.18,cropmarketother_2,Specify other,D.1.2.18 Specifiez,D.1.2.18 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${cropsell_2}>0 and ${cropmarket_2} = '5',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
select_one crop_list,1,D.1.3.1,crop_3,Please select the thirdmost important crop on this field,D.1.3.1 Quelle est la recolte la troisième plus importante dans ce champ pour le saison actuel?,D.1.3.1 Mmea gani ambao ni wa tatu kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,Quelle est la recolte la troisième plus importante dans ce champ pour le saison actuel?,Mmea gani ambao ni wa tatu kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,,,,"Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.","Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.",${crop_1}!='99' and ${crop_2}!='99','99',,,,yes,
text,2,D.1.3.2,crop_other_3,specify other,D.1.3.2 Specifiez,D.1.3.2 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${crop_3}='96',,,,,yes,
begin group,3,,r3,3,3,,3,,,,,,,${crop_1}!='99' and ${crop_2}!='99' and ${crop_3}!='99' and (${crop_3}='7' or ${crop_3}='8' or ${crop_3}='9' or ${crop_3}='10'),,,,,,
integer,3,D.1.3.3,sow_3,How much did you sow,D.1.3.3 Combien est-ce que vous avez planté/semé?,D.1.3.3 Ulipanda mimea (mbegu) ngapi?,Combien est-ce que vous avez planté/semé?,Ulipanda mimea (mbegu) ngapi?,,,,Notez la quantité. Untiés dans le page prochain,Notez la quantité. Untiés dans le page prochain,,,,,,yes,
select_one units_volume,4,D.1.3.4,sowunit_3,Please indicate the unit.,D.1.3.4 Unité,D.1.3.4 Kipimo,Unité,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,5,D.1.3.5,seedsupply_3,How did you get the seeds,D.1.3.5 Comment est-ce que vous avez obtenu les semences?,D.1.3.5 Ulipata mbengu namna gani?,Comment est-ce que vous avez obtenu les semences?,Ulipata mbengu namna gani?,,,,,,,,,,,yes,
text,6,D.1.3.6,seedsupplyngo_3,What is the name of the NGO?,D.1.3.6 Quel est le nom d'ONG?,D.1.3.6 Jina la ONG ni gani?,Quel est le nom d'ONG?,Jina la ONG ni gani?,,,,,,${seedsupply_3}='6',,,,,yes,
text,7,D.1.3.7,seedsupplyneigh_3,What is the name of the person?,D.1.3.7 Quel est le nom de personne?,D.1.3.7 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${seedsupply_3}='3' or ${seedsupply_3}='4' or ${seedsupply_3}='5',,,,,yes,
select_one harvestyn_list,8,D.1.3.8,harvestyn_3,Have you finished harvesting this crop?,D.1.3.8 Est que vous avez déja fini la récolte de cette culture?,D.1.3.8 Umekwisha maliza kuvuna mbegu hiyi? ,Est que vous avez déja fini la récolte de cette culture?,Umekwisha maliza kuvuna mbegu hiyi? ,,,,,,,,,,,yes,
integer,9,D.1.3.9,harvest_3,How much did you harvest?,D.1.3.9 Combien est-ce que vous avez récolté?,D.1.3.9 Ulipata mavuno kiasi gani?,Combien est-ce que vous avez récolté?,Ulipata mavuno kiasi gani?,,,,"Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.","Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.",,,,,,yes,
select_one units_volume,10,D.1.3.10,harvestunit_3,Please indicate the unit.,D.1.3.10 Unité,D.1.3.10 kipimo,Unité,kipimo,,,,,,,,,,,yes,
integer,11,D.1.3.11,cropsell_3,How much did you sell?,D.1.3.11 Combien est-ce que vous avez vendu?,D.1.3.11 Uliuzisha mavuno kiasi gani?,Combien est-ce que vous avez vendu?,Uliuzisha mavuno kiasi gani?,,,"If no sale, enter 0. ","Si pas de vente, notez 0. 
","Si pas de vente, notez 0. 
",,,,,,yes,
select_one units_volume,12,D.1.3.12,cropsellunit_3,Please indicate the unit.,D.1.3.12 Unité,D.1.3.12 Kipimo,Unité,Kipimo,,,,Notez l'unité de mesure.,Notez l'unité de mesure.,${cropsell_3}>0,,,,,yes,
integer,13,D.1.3.13,sellprice_3,What is the price?,D.1.3.13 Pour quel prix avez-vous vendu la récolte?,D.1.3.13 Uliuzisha mavuno kwa bei gani?,Pour quel prix avez-vous vendu la récolte?,Uliuzisha mavuno kwa bei gani?,,,Enter the unit and currency below,"Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines","Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines",${cropsell_3}>0,,,,,yes,
select_one currency_list,14,D.1.3.14,sellpricecurr_3,What currency?,D.1.3.14 Monnaie,D.1.3.14 Pesa gani,Monnaie,Pesa gani,,,,"Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine","Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine",${cropsell_3}>0,,,,,yes,
select_one units_volume,15,D.1.3.15,sellpriceunit_3,What unit?,D.1.3.15 Unité,D.1.3.15 Uliuzisha kwa kipimo gani?,Unité,Uliuzisha kwa kipimo gani?,,,,"Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.","Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.",${cropsell_3}>0,,,,,yes,
select_one markettiming_list,16,D.1.3.16,saletime_3,When did you sell?,D.1.3.16 Quand est-ce que vous avez vendu la récolte?,D.1.3.16 Uliuzisha hii mavuno wakati gani?,Quand est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wakati gani?,,,,,,${cropsell_3}>0,,,,,yes,
select_one marketing_list,17,D.1.3.17,cropmarket_3,Where did you sell?,D.1.3.17 Ou est-ce que vous avez vendu la récolte?,D.1.3.17 Uliuzisha hii mavuno wapi?,Ou est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wapi?,,,,,,${cropsell_3}>0,,,,,yes,
text,18,D.1.3.18,cropmarketother_3,Specify other,D.1.3.18 Specifiez,D.1.3.18 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${cropsell_3}>0 and ${cropmarket_3} = '5',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
select_one crop_list,1,D.1.4.1,crop_4,Please select the fourthmost important crop on this field,D.1.4.1 Quelle est la recolte la quattrième plus importante dans ce champ pour le saison actuel?,D.1.4.1 Mmea gani ambao ni wa inne kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,Quelle est la recolte la quattrième plus importante dans ce champ pour le saison actuel?,Mmea gani ambao ni wa inne kwa umuhimu ndani ya shamba kwa kipindi hiki cha kilimo?,,,,"Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.","Rappelez vous: les questions sont pour le saison actuel.
On demande les questions sur les quantités etc. seulement pous les legumineux. Pour les autres cultures ils seront sauté.",${crop_1}!='99' and ${crop_2}!='99' and ${crop_3}!='99','99',,,,yes,
text,2,D.1.4.2,crop_other_4,specify other,D.1.4.2 Specifiez,D.1.4.2 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${crop_4}='96',,,,,yes,
begin group,4,,r4,4,4,,4,,,,,,,${crop_1}!='99' and ${crop_2}!='99' and ${crop_3}!='99' and ${crop_4}!='99' and (${crop_4}='7' or ${crop_4}='8' or ${crop_4}='9' or ${crop_4}='10'),,,,,,
integer,3,D.1.4.3,sow_4,How much did you sow,D.1.4.3 Combien est-ce que vous avez planté/semé?,D.1.4.3 Ulipanda mimea (mbegu) ngapi?,Combien est-ce que vous avez planté/semé?,Ulipanda mimea (mbegu) ngapi?,,,,Notez la quantité. Untiés dans le page prochain,Notez la quantité. Untiés dans le page prochain,,,,,,yes,
select_one units_volume,4,D.1.4.4,sowunit_4,Please indicate the unit.,D.1.4.4 Unité,D.1.4.4 Kipimo,Unité,Kipimo,,,,,,,,,,,yes,
select_one seedsupply_list,5,D.1.4.5,seedsupply_4,How did you get the seeds,D.1.4.5 Comment est-ce que vous avez obtenu les semences?,D.1.4.5 Ulipata mbengu namna gani?,Comment est-ce que vous avez obtenu les semences?,Ulipata mbengu namna gani?,,,,,,,,,,,yes,
text,6,D.1.4.6,seedsupplyngo_4,What is the name of the NGO?,D.1.4.6 Quel est le nom d'ONG?,D.1.4.6 Jina la ONG ni gani?,Quel est le nom d'ONG?,Jina la ONG ni gani?,,,,,,${seedsupply_4}='6',,,,,yes,
text,7,D.1.4.7,seedsupplyneigh_4,What is the name of the person?,D.1.4.7 Quel est le nom de personne?,D.1.4.7 Jina la mtu ni nani?,Quel est le nom de personne?,Jina la mtu ni nani?,,,,,,${seedsupply_4}='3' or ${seedsupply_4}='4' or ${seedsupply_4}='5',,,,,yes,
select_one harvestyn_list,8,D.1.4.8,harvestyn_4,Have you finished harvesting this crop?,D.1.4.8 Est que vous avez déja fini la récolte de cette culture?,D.1.4.8 Umekwisha maliza kuvuna mbegu hiyi? ,Est que vous avez déja fini la récolte de cette culture?,Umekwisha maliza kuvuna mbegu hiyi? ,,,,,,,,,,,yes,
integer,9,D.1.4.9,harvest_4,How much did you harvest?,D.1.4.9 Combien est-ce que vous avez récolté?,D.1.4.9 Ulipata mavuno kiasi gani?,Combien est-ce que vous avez récolté?,Ulipata mavuno kiasi gani?,,,,"Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.","Si on avait pas encore recolté, il faut estimer la prouction.
Notez la quantité. Untiés dans le page prochain.",,,,,,yes,
select_one units_volume,10,D.1.4.10,harvestunit_4,Please indicate the unit.,D.1.4.10 Unité,D.1.4.10 kipimo,Unité,kipimo,,,,,,,,,,,yes,
integer,11,D.1.4.11,cropsell_4,How much did you sell?,D.1.4.11 Combien est-ce que vous avez vendu?,D.1.4.11 Uliuzisha mavuno kiasi gani?,Combien est-ce que vous avez vendu?,Uliuzisha mavuno kiasi gani?,,,"If no sale, enter 0. ","Si pas de vente, notez 0. 
","Si pas de vente, notez 0. 
",,,,,,yes,
select_one units_volume,12,D.1.4.12,cropsellunit_4,Please indicate the unit.,D.1.4.12 Unité,D.1.4.12 Kipimo,Unité,Kipimo,,,,Notez l'unité de mesure.,Notez l'unité de mesure.,${cropsell_4}>0,,,,,yes,
integer,13,D.1.4.13,sellprice_4,What is the price?,D.1.4.13 Pour quel prix avez-vous vendu la récolte?,D.1.4.13 Uliuzisha mavuno kwa bei gani?,Pour quel prix avez-vous vendu la récolte?,Uliuzisha mavuno kwa bei gani?,,,Enter the unit and currency below,"Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines","Notez le quantité.
Par exemple, si le prix est 10 dollar par kilo, notez 10 ici et les unités de monnaie ($) et mesure (KG) dans les page prochaines",${cropsell_4}>0,,,,,yes,
select_one currency_list,14,D.1.4.14,sellpricecurr_4,What currency?,D.1.4.14 Monnaie,D.1.4.14 Pesa gani,Monnaie,Pesa gani,,,,"Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine","Notez l'unité de monnaie
Par exemple, si le prix est 10 dollar par kilo, notez dollar ici et les unités de mesure (kg) dans le page prochaine",${cropsell_4}>0,,,,,yes,
select_one units_volume,15,D.1.4.15,sellpriceunit_4,What unit?,D.1.4.15 Unité,D.1.4.15 Uliuzisha kwa kipimo gani?,Unité,Uliuzisha kwa kipimo gani?,,,,"Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.","Notez le mesure d'unités utilisé par l'enqueté
Par exemple, si le prix est 10 dollar par kilo, notez KG ici.",${cropsell_4}>0,,,,,yes,
select_one markettiming_list,16,D.1.4.16,saletime_4,When did you sell?,D.1.4.16 Quand est-ce que vous avez vendu la récolte?,D.1.4.16 Uliuzisha hii mavuno wakati gani?,Quand est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wakati gani?,,,,,,${cropsell_4}>0,,,,,yes,
select_one marketing_list,17,D.1.4.17,cropmarket_4,Where did you sell?,D.1.4.17 Ou est-ce que vous avez vendu la récolte?,D.1.4.17 Uliuzisha hii mavuno wapi?,Ou est-ce que vous avez vendu la récolte?,Uliuzisha hii mavuno wapi?,,,,,,${cropsell_4}>0,,,,,yes,
text,18,D.1.4.18,cropmarketother_4,Specify other,D.1.4.18 Specifiez,D.1.4.18 Pana mwangaza (Fafanuwa),Specifiez,Pana mwangaza (Fafanuwa),,,,,,${cropsell_4}>0 and ${cropmarket_4} = '5',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
end group,,,,,,,,,,,,,,,,,,,,
note,,,note_agr_otherquestions,"I will now ask questions on the dimensions of the plot, the access to the plot, who worked on the plot, and on which inputs have been used on the plot.","D'abord, je vais vous poser questions sur les dimensions du champ, sur l'access au champ, sur qui a travaille sur ce champ, et quelle intrants sont utilisé sur ce champ.","D'abord, je vais vous poser questions sur les dimensions du champ, sur l'access au champ, sur qui a travaille sur ce champ, et quelle intrants sont utilisé sur ce champ.","D'abord, je vais vous poser questions sur les dimensions du champ, sur l'access au champ, sur qui a travaille sur ce champ, et quelle intrants sont utilisé sur ce champ.","D'abord, je vais vous poser questions sur les dimensions du champ, sur l'access au champ, sur qui a travaille sur ce champ, et quelle intrants sont utilisé sur ce champ.",,,,,,,,,,,,
begin group,2,,dim,Dimensions, Dimensions,,Dimensions,,,,,,,,,,,,,
integer,1,D.2.1,distance,How far is the plot from your house?,D.2.1 Quelle est la distance du champ de votre maison?,D.2.1 Kutoka ku nyumba yako mpaka ku shamba ku na umbali gani?,Quelle est la distance du champ de votre maison?,Kutoka ku nyumba yako mpaka ku shamba ku na umbali gani?,,,Enter the minutes walking,"Notez la distance en minutes, en pied, aller seulement","Notez la distance en minutes, en pied, aller seulement",,,.<1000,,,yes,
select_one surface_list,2,D.2.2,surfaceformat,How large is the plot?,D.2.2 Quelle est la taille du champ?,D.2.2 Hii shamba ina ukabwa gani? ,Quelle est la taille du champ?,Hii shamba ina ukabwa gani? ,,,Enter if the response is in the format length/with or in surface,Notez si le réponse est dans le format longeur/largeur ou superficie,Notez si le réponse est dans le format longeur/largeur ou superficie,,,,,,yes,
decimal,3,D.2.3,long,How long is the plot?,D.2.3 Quelle est la longeur du champs?,D.2.3 Hii shamba ina urefu gani?,Quelle est la longeur du champs?,Hii shamba ina urefu gani?,,,Enter length in metres,Notez la longeur en metres,Notez la longeur en metres,${surfaceformat}='1',,.<1000,,,yes,
decimal,4,D.2.4,wide,How wide is the plot?,D.2.4 Quelle est la largeur du champs?,D.2.4 Hii shamba ina upanda gani?,Quelle est la largeur du champs?,Hii shamba ina upanda gani?,,,Enter width in metres,Notez la largeur en metres,Notez la largeur en metres,${surfaceformat}='1',,.<1000,,,yes,
decimal,5,D.2.5,surface,What is the area,D.2.5 Quelle est la superficie du champ?,"D.2.5 Ukichanga urefu na upanda, shamba lako ni la ukubwa gani? ",Quelle est la superficie du champ?,"Ukichanga urefu na upanda, shamba lako ni la ukubwa gani? ",,,,Notez l'unité de mesure dans le prochaine page,Notez l'unité de mesure dans le prochaine page,${surfaceformat}='2',,,,,yes,
select_one surfaceunits_list,6,D.2.6,surfaceunits,What is the unit of measurement?,D.2.6 Quelle est l'unité de mesure?,D.2.6 munatumikisha kipimo gani?,Quelle est l'unité de mesure?,munatumikisha kipimo gani?,,,,,,${surfaceformat}='2',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,3,,use,Land use and Access, Utilisation et access de champ,Matumizi ya  udongo na namna ya kuupata,Utilisation et access de champ,Matumizi ya  udongo na namna ya kuupata,,,,,,,,,,,,
select_one plottype_list or_other,1,D.3.1,plottype,What type of plot is it?,"D.3.1 Ce champ, c'est quel type?",D.3.1 Shamba hii ni ya aina gani?,"Ce champ, c'est quel type?",Shamba hii ni ya aina gani?,,,,,,,,,,,yes,
select_one landuse_list,2,D.3.2,plotuse,"Do you use this plot alone, or with other hosuehold?","D.3.2 Est-ce que vous utilisez seul, ou avec des autres ménages?","D.3.2 Est-ce que vous utilisez seul, ou avec des autres ménages?","Est-ce que vous utilisez seul, ou avec des autres ménages?","Est-ce que vous utilisez seul, ou avec des autres ménages?",,,,,,,,,,,yes,
select_one household_list,3,D.3.3,plotdecide,Which household member has the most say in the decisions regarding this plot?,D.3.3 Quel membre de ménage a le pouvoir des decisions plus grande concernant ce champ?,D.3.3 Udongo wa hii shamba ni wa aina gani (Je! una rutuba au hapana)?,Quel membre de ménage a le pouvoir des decisions plus grande concernant ce champ?,Quel membre de ménage a le pouvoir des decisions plus grande concernant ce champ?,,,,,,,,,,,yes,
select_one soilqual_list,4,D.3.4,soilqual,What is the soil quality,D.3.4 Quelle est la qualité du sol?,D.3.4 Ulipata shamba hii namna gani?,Quelle est la qualité du sol?,Udongo wa hii shamba ni wa aina gani (Je! una rutuba au hapana)?,,,,Fertilité par rapport aux autres champs dans le village,Fertilité par rapport aux autres champs dans le village,,,,,,yes,
select_one landaccess_list,5,D.3.5,plotaccess,How do you have access to this plot?,D.3.5 Comment vous avez l'access sur ce champ?,D.3.5 Ulipata shamba hii namna gani?,Comment vous avez l'access sur ce champ?,Ulipata shamba hii namna gani?,,,,,,,,,,,yes,
select_one acquired_list,6,D.3.6,plotacquired,F.4.3 How did you acquire this plot?,D.3.6 Comment vous avez obtenu ce champ?,D.3.6 Shamba hii ni yako kwa njia gani?,Comment vous avez obtenu ce champ?,Shamba hii ni yako kwa njia gani?,,,,,,${plotaccess}='1',,,,,yes,
select_one ownership_list,7,D.3.7,plotownnonhh,Who owns this plot?,D.3.7 A qui appartient le champs ?,D.3.7 Shamba hii ni ya nani?,A qui appartient le champs ?,Shamba hii ni ya nani?,,,,,,${plotaccess}!='1',,,,,yes,
text,8,D.3.8,plot_ownnonother,Specify other,D.3.8 Specifiez. ,D.3.8 Pana mwangaza (Fafanuwa),Specifiez. ,Pana mwangaza (Fafanuwa),,,,,,${plotownnonhh}='96',,,,,yes,
end group,,,,,,,,,,,,,,,,,,,,
begin group,4,,pay,Payments for acces, Paiements pour l'access,Malipo juu ya kutumikisha udongo,Paiements pour l'access,Malipo juu ya kutumikisha udongo,,,,,,,,,,,yes,
select_multiple plotpayment_list,1,D.4.1,plotpay,How do you pay,D.4.1 Est-ce que vous paiez pour l'access a votre champs dans quelqu'un de ces manieres?,D.4.1 Est-ce que vous paiez pour l'access a votre champs dans quelqu'un de ces manieres?,Est-ce que vous paiez pour l'access a votre champs dans quelqu'un de ces manieres?,Est-ce que vous paiez pour l'access a votre champs dans quelqu'un de ces manieres?,,,,"Lisez les assertions en haut voix.
Si pas de paiements: laissez vide","Lisez les assertions en haut voix.
Si pas de paiements: laissez vide",,,,,,,
integer,2,D.4.2,plotpay_dollar,How many dollars,D.4.2 Combien de dollar est-que vous paiez par année pour l'access?,D.4.2 Combien de dollar est-que vous paiez par année pour l'access?,Combien de dollar est-que vous paiez par année pour l'access?,Combien de dollar est-que vous paiez par année pour l'access?,,,,,,"selected(${plotpay},'1')",,,,,yes,
integer,3,D.4.3,plotpay_franc,How many francs,D.4.3 Combien de Franc Congolais est-que vous paiez par année pour l'access?,D.4.3 Combien de Franc Congolais est-que vous paiez par année pour l'access?,Combien de Franc Congolais est-que vous paiez par année pour l'access?,Combien de Franc Congolais est-que vous paiez par année pour l'access?,,,,,,"selected(${plotpay},'2')",,,,,yes,
integer,4,D.4.4,plotpay_share,What share,D.4.4 Quel partie de récolte contribuez vous pour l'access?,D.4.4 Quel partie de récolte contribuez vous pour l'access?,Quel partie de récolte contribuez vous pour l'access?,Quel partie de récolte contribuez vous pour l'access?,,,,Notez le pourcentage,Notez le pourcentage,"selected(${plotpay},'3')",,.<=100,,,yes,
